Município,codmun,UF,idsus_fx,Grupo Homogêneo
Ibiara,250660,PB,"4 a 4,9",GH6
Imaculada,250670,PB,"4 a 4,9",GH6
Ingá,250680,PB,"5 a 5,9",GH6
Itabaiana,250690,PB,"5 a 5,9",GH4
Itaporanga,250700,PB,"4 a 4,9",GH4
Itapororoca,250710,PB,"5 a 5,9",GH6
Itatuba,250720,PB,"5 a 5,9",GH6
Jacaraú,250730,PB,"5 a 5,9",GH6
Jericó,250740,PB,"4 a 4,9",GH6
João Pessoa,250750,PB,"6 a 6,9",GH1
Juarez Távora,250760,PB,"5 a 5,9",GH6
Juazeirinho,250770,PB,"5 a 5,9",GH6
Junco do Seridó,250780,PB,"5 a 5,9",GH6
Juripiranga,250790,PB,"5 a 5,9",GH6
Juru,250800,PB,"5 a 5,9",GH6
Lagoa,250810,PB,"4 a 4,9",GH6
Lagoa de Dentro,250820,PB,"5 a 5,9",GH6
Lagoa Seca,250830,PB,"5 a 5,9",GH6
Lastro,250840,PB,"4 a 4,9",GH6
Livramento,250850,PB,"5 a 5,9",GH6
Logradouro,250855,PB,"5 a 5,9",GH6
Lucena,250860,PB,"5 a 5,9",GH6
Mãe d'Água,250870,PB,"5 a 5,9",GH6
Malta,250880,PB,"5 a 5,9",GH6
Mamanguape,250890,PB,"5 a 5,9",GH6
Manaíra,250900,PB,"4 a 4,9",GH6
Marcação,250905,PB,"5 a 5,9",GH6
Mari,250910,PB,"5 a 5,9",GH6
Marizópolis,250915,PB,"4 a 4,9",GH6
Massaranduba,250920,PB,"5 a 5,9",GH6
Mataraca,250930,PB,"5 a 5,9",GH6
Matinhas,250933,PB,"6 a 6,9",GH6
Mato Grosso,250937,PB,"4 a 4,9",GH6
Maturéia,250939,PB,"5 a 5,9",GH6
Mogeiro,250940,PB,"5 a 5,9",GH6
Montadas,250950,PB,"5 a 5,9",GH6
Monte Horebe,250960,PB,"4 a 4,9",GH6
Monteiro,250970,PB,"6 a 6,9",GH4
Mulungu,250980,PB,"5 a 5,9",GH6
Natuba,250990,PB,"5 a 5,9",GH6
Nazarezinho,251000,PB,"4 a 4,9",GH6
Nova Floresta,251010,PB,"5 a 5,9",GH6
Nova Olinda,251020,PB,"5 a 5,9",GH6
Nova Palmeira,251030,PB,"5 a 5,9",GH6
Olho d'Água,251040,PB,"4 a 4,9",GH6
Olivedos,251050,PB,"5 a 5,9",GH6
Ouro Velho,251060,PB,"5 a 5,9",GH6
Parari,251065,PB,"6 a 6,9",GH6
Passagem,251070,PB,"5 a 5,9",GH6
Patos,251080,PB,"5 a 5,9",GH4
Paulista,251090,PB,"4 a 4,9",GH6
Pedra Branca,251100,PB,"5 a 5,9",GH6
Pedra Lavrada,251110,PB,"5 a 5,9",GH6
Pedras de Fogo,251120,PB,"5 a 5,9",GH4
Piancó,251130,PB,"5 a 5,9",GH4
Picuí,251140,PB,"6 a 6,9",GH4
Pilar,251150,PB,"6 a 6,9",GH6
Pilões,251160,PB,"5 a 5,9",GH6
Pilõezinhos,251170,PB,"5 a 5,9",GH6
Pirpirituba,251180,PB,"5 a 5,9",GH6
Pitimbu,251190,PB,"5 a 5,9",GH6
Pocinhos,251200,PB,"5 a 5,9",GH6
Poço Dantas,251203,PB,"4 a 4,9",GH6
Poço de José de Moura,251207,PB,"5 a 5,9",GH6
Pombal,251210,PB,"4 a 4,9",GH4
Prata,251220,PB,"6 a 6,9",GH6
Princesa Isabel,251230,PB,"5 a 5,9",GH4
Puxinanã,251240,PB,"5 a 5,9",GH6
Queimadas,251250,PB,"5 a 5,9",GH6
Quixabá,251260,PB,"5 a 5,9",GH6
Remígio,251270,PB,"5 a 5,9",GH6
Pedro Régis,251272,PB,"5 a 5,9",GH6
Riachão,251274,PB,"5 a 5,9",GH6
Riachão do Bacamarte,251275,PB,"5 a 5,9",GH6
Riachão do Poço,251276,PB,"5 a 5,9",GH6
Riacho de Santo Antônio,251278,PB,"5 a 5,9",GH6
Riacho dos Cavalos,251280,PB,"4 a 4,9",GH6
Rio Tinto,251290,PB,"5 a 5,9",GH4
Salgadinho,251300,PB,"5 a 5,9",GH6
Salgado de São Félix,251310,PB,"5 a 5,9",GH6
Santa Cecília,251315,PB,"5 a 5,9",GH6
Santa Cruz,251320,PB,"4 a 4,9",GH6
Santa Helena,251330,PB,"5 a 5,9",GH6
Santa Inês,251335,PB,"2,5 a 3,9",GH6
Santa Luzia,251340,PB,"5 a 5,9",GH6
Santana de Mangueira,251350,PB,"5 a 5,9",GH6
Santana dos Garrotes,251360,PB,"4 a 4,9",GH6
Santarém,251365,PB,"5 a 5,9",GH6
Santa Rita,251370,PB,"5 a 5,9",GH4
Santa Teresinha,251380,PB,"5 a 5,9",GH6
Santo André,251385,PB,"6 a 6,9",GH6
São Bento,251390,PB,"5 a 5,9",GH4
São Bentinho,251392,PB,"4 a 4,9",GH6
São Domingos do Cariri,251394,PB,"5 a 5,9",GH6
São Domingos,251396,PB,"4 a 4,9",GH6
São Francisco,251398,PB,"4 a 4,9",GH6
São João do Cariri,251400,PB,"5 a 5,9",GH6
São João do Tigre,251410,PB,"5 a 5,9",GH6
São José da Lagoa Tapada,251420,PB,"4 a 4,9",GH6
São José de Caiana,251430,PB,"5 a 5,9",GH6
São José de Espinharas,251440,PB,"5 a 5,9",GH6
São José dos Ramos,251445,PB,"5 a 5,9",GH6
São José de Piranhas,251450,PB,"4 a 4,9",GH6
São José de Princesa,251455,PB,"4 a 4,9",GH6
São José do Bonfim,251460,PB,"5 a 5,9",GH6
São José do Brejo do Cruz,251465,PB,"4 a 4,9",GH6
São José do Sabugi,251470,PB,"5 a 5,9",GH6
São José dos Cordeiros,251480,PB,"5 a 5,9",GH6
São Mamede,251490,PB,"5 a 5,9",GH6
São Miguel de Taipu,251500,PB,"5 a 5,9",GH6
São Sebastião de Lagoa de Roça,251510,PB,"5 a 5,9",GH6
São Sebastião do Umbuzeiro,251520,PB,"5 a 5,9",GH6
Sapé,251530,PB,"5 a 5,9",GH4
Seridó,251540,PB,"6 a 6,9",GH6
Serra Branca,251550,PB,"5 a 5,9",GH6
Serra da Raiz,251560,PB,"4 a 4,9",GH6
Serra Grande,251570,PB,"5 a 5,9",GH6
Serra Redonda,251580,PB,"5 a 5,9",GH6
Serraria,251590,PB,"5 a 5,9",GH6
Sertãozinho,251593,PB,"5 a 5,9",GH6
Sobrado,251597,PB,"5 a 5,9",GH6
Solânea,251600,PB,"5 a 5,9",GH4
Soledade,251610,PB,"5 a 5,9",GH6
Sossêgo,251615,PB,"5 a 5,9",GH6
Sousa,251620,PB,"4 a 4,9",GH4
Sumé,251630,PB,"5 a 5,9",GH6
Campo de Santana,251640,PB,"5 a 5,9",GH6
Taperoá,251650,PB,"5 a 5,9",GH6
Tavares,251660,PB,"4 a 4,9",GH6
Teixeira,251670,PB,"5 a 5,9",GH6
Tenório,251675,PB,"5 a 5,9",GH6
Triunfo,251680,PB,"4 a 4,9",GH6
Uiraúna,251690,PB,"4 a 4,9",GH4
Umbuzeiro,251700,PB,"5 a 5,9",GH6
Várzea,251710,PB,"5 a 5,9",GH6
Vieirópolis,251720,PB,"4 a 4,9",GH6
Zabelê,251740,PB,"6 a 6,9",GH6
Abreu e Lima,260005,PE,"5 a 5,9",GH4
Afogados da Ingazeira,260010,PE,"5 a 5,9",GH4
Afrânio,260020,PE,"4 a 4,9",GH6
Agrestina,260030,PE,"5 a 5,9",GH4
Água Preta,260040,PE,"5 a 5,9",GH6
Águas Belas,260050,PE,"2,5 a 3,9",GH6
Alagoinha,260060,PE,"5 a 5,9",GH6
Aliança,260070,PE,"5 a 5,9",GH6
Altinho,260080,PE,"6 a 6,9",GH6
Amaraji,260090,PE,"5 a 5,9",GH6
Angelim,260100,PE,"5 a 5,9",GH6
Araçoiaba,260105,PE,"5 a 5,9",GH6
Araripina,260110,PE,"4 a 4,9",GH4
Arcoverde,260120,PE,"5 a 5,9",GH4
Barra de Guabiraba,260130,PE,"5 a 5,9",GH6
Barreiros,260140,PE,"4 a 4,9",GH4
Belém de Maria,260150,PE,"5 a 5,9",GH6
Belém de São Francisco,260160,PE,"4 a 4,9",GH6
Belo Jardim,260170,PE,"4 a 4,9",GH4
Betânia,260180,PE,"5 a 5,9",GH6
Bezerros,260190,PE,"5 a 5,9",GH4
Bodocó,260200,PE,"5 a 5,9",GH6
Bom Conselho,260210,PE,"4 a 4,9",GH4
Bom Jardim,260220,PE,"5 a 5,9",GH6
Bonito,260230,PE,"5 a 5,9",GH6
Brejão,260240,PE,"5 a 5,9",GH6
Brejinho,260250,PE,"5 a 5,9",GH6
Brejo da Madre de Deus,260260,PE,"4 a 4,9",GH6
Buenos Aires,260270,PE,"5 a 5,9",GH6
Buíque,260280,PE,"4 a 4,9",GH4
Cabo de Santo Agostinho,260290,PE,"5 a 5,9",GH3
Cabrobó,260300,PE,"5 a 5,9",GH6
Cachoeirinha,260310,PE,"5 a 5,9",GH6
Caetés,260320,PE,"6 a 6,9",GH6
Calçado,260330,PE,"5 a 5,9",GH6
Calumbi,260340,PE,"5 a 5,9",GH6
Camaragibe,260345,PE,"5 a 5,9",GH4
Camocim de São Félix,260350,PE,"5 a 5,9",GH6
Camutanga,260360,PE,"5 a 5,9",GH6
Canhotinho,260370,PE,"5 a 5,9",GH6
Capoeiras,260380,PE,"5 a 5,9",GH6
Carnaíba,260390,PE,"5 a 5,9",GH6
Carnaubeira da Penha,260392,PE,"4 a 4,9",GH6
Carpina,260400,PE,"4 a 4,9",GH4
Caruaru,260410,PE,"4 a 4,9",GH2
Casinhas,260415,PE,"5 a 5,9",GH6
Catende,260420,PE,"4 a 4,9",GH6
Cedro,260430,PE,"4 a 4,9",GH6
Chã de Alegria,260440,PE,"5 a 5,9",GH6
Chã Grande,260450,PE,"5 a 5,9",GH6
Condado,260460,PE,"5 a 5,9",GH6
Correntes,260470,PE,"5 a 5,9",GH6
Cortês,260480,PE,"5 a 5,9",GH6
Cumaru,260490,PE,"4 a 4,9",GH6
Cupira,260500,PE,"5 a 5,9",GH6
Custódia,260510,PE,"5 a 5,9",GH4
Dormentes,260515,PE,"4 a 4,9",GH6
Escada,260520,PE,"4 a 4,9",GH4
Exu,260530,PE,"5 a 5,9",GH6
Feira Nova,260540,PE,"5 a 5,9",GH6
Fernando de Noronha,260545,PE,NA,GH5
Ferreiros,260550,PE,"5 a 5,9",GH6
Flores,260560,PE,"5 a 5,9",GH6
Floresta,260570,PE,"4 a 4,9",GH4
Frei Miguelinho,260580,PE,"5 a 5,9",GH6
Gameleira,260590,PE,"5 a 5,9",GH6
Garanhuns,260600,PE,"5 a 5,9",GH4
Glória do Goitá,260610,PE,"5 a 5,9",GH6
Goiana,260620,PE,"5 a 5,9",GH4
Granito,260630,PE,"5 a 5,9",GH6
Gravatá,260640,PE,"5 a 5,9",GH4
Iati,260650,PE,"5 a 5,9",GH6
Ibimirim,260660,PE,"5 a 5,9",GH6
Ibirajuba,260670,PE,"5 a 5,9",GH6
Igarassu,260680,PE,"5 a 5,9",GH6
Iguaraci,260690,PE,"5 a 5,9",GH6
Inajá,260700,PE,"5 a 5,9",GH6
Ingazeira,260710,PE,"5 a 5,9",GH6
Ipojuca,260720,PE,"5 a 5,9",GH5
Ipubi,260730,PE,"5 a 5,9",GH6
Itacuruba,260740,PE,"5 a 5,9",GH6
Itaíba,260750,PE,"5 a 5,9",GH6
Ilha de Itamaracá,260760,PE,"5 a 5,9",GH6
Itambé,260765,PE,"5 a 5,9",GH4
Itapetim,260770,PE,"5 a 5,9",GH6
Itapissuma,260775,PE,"5 a 5,9",GH5
Itaquitinga,260780,PE,"5 a 5,9",GH6
Jaboatão dos Guararapes,260790,PE,"5 a 5,9",GH2
Jaqueira,260795,PE,"5 a 5,9",GH6
Jataúba,260800,PE,"5 a 5,9",GH6
Jatobá,260805,PE,"5 a 5,9",GH6
João Alfredo,260810,PE,"5 a 5,9",GH6
Joaquim Nabuco,260820,PE,"5 a 5,9",GH6
Jucati,260825,PE,"5 a 5,9",GH6
Jupi,260830,PE,"6 a 6,9",GH6
Jurema,260840,PE,"5 a 5,9",GH6
Lagoa do Carro,260845,PE,"5 a 5,9",GH6
Lagoa do Itaenga,260850,PE,"5 a 5,9",GH6
Lagoa do Ouro,260860,PE,"6 a 6,9",GH6
Lagoa dos Gatos,260870,PE,"4 a 4,9",GH6
Lagoa Grande,260875,PE,"4 a 4,9",GH6
Lajedo,260880,PE,"4 a 4,9",GH6
Limoeiro,260890,PE,"5 a 5,9",GH4
Macaparana,260900,PE,"5 a 5,9",GH6
Machados,260910,PE,"5 a 5,9",GH6
Manari,260915,PE,"4 a 4,9",GH6
Maraial,260920,PE,"4 a 4,9",GH6
Mirandiba,260930,PE,"5 a 5,9",GH6
Moreno,260940,PE,"6 a 6,9",GH4
Nazaré da Mata,260950,PE,"4 a 4,9",GH6
Olinda,260960,PE,"5 a 5,9",GH4
Orobó,260970,PE,"5 a 5,9",GH6
Orocó,260980,PE,"4 a 4,9",GH6
Ouricuri,260990,PE,"4 a 4,9",GH4
Palmares,261000,PE,"5 a 5,9",GH4
Palmeirina,261010,PE,"5 a 5,9",GH6
Panelas,261020,PE,"4 a 4,9",GH6
Paranatama,261030,PE,"5 a 5,9",GH6
Parnamirim,261040,PE,"5 a 5,9",GH6
Passira,261050,PE,"5 a 5,9",GH6
Paudalho,261060,PE,"5 a 5,9",GH4
Paulista,261070,PE,"5 a 5,9",GH4
Pedra,261080,PE,"5 a 5,9",GH6
Pesqueira,261090,PE,"5 a 5,9",GH4
Petrolândia,261100,PE,"5 a 5,9",GH4
Petrolina,261110,PE,"5 a 5,9",GH4
Poção,261120,PE,"5 a 5,9",GH6
Pombos,261130,PE,"5 a 5,9",GH6
Primavera,261140,PE,"5 a 5,9",GH6
Quipapá,261150,PE,"4 a 4,9",GH6
Quixaba,261153,PE,"6 a 6,9",GH6
Recife,261160,PE,"5 a 5,9",GH1
Riacho das Almas,261170,PE,"6 a 6,9",GH6
Ribeirão,261180,PE,"5 a 5,9",GH4
Rio Formoso,261190,PE,"5 a 5,9",GH6
Sairé,261200,PE,"4 a 4,9",GH6
Salgadinho,261210,PE,"4 a 4,9",GH6
Salgueiro,261220,PE,"5 a 5,9",GH4
Saloá,261230,PE,"5 a 5,9",GH6
Sanharó,261240,PE,"5 a 5,9",GH6
Santa Cruz,261245,PE,"5 a 5,9",GH6
Santa Cruz da Baixa Verde,261247,PE,"6 a 6,9",GH6
Santa Cruz do Capibaribe,261250,PE,"2,5 a 3,9",GH4
Santa Filomena,261255,PE,"5 a 5,9",GH6
Santa Maria da Boa Vista,261260,PE,"4 a 4,9",GH4
Santa Maria do Cambucá,261270,PE,"5 a 5,9",GH6
Santa Terezinha,261280,PE,"5 a 5,9",GH6
São Benedito do Sul,261290,PE,"4 a 4,9",GH6
São Bento do Una,261300,PE,"5 a 5,9",GH6
São Caitano,261310,PE,"5 a 5,9",GH6
São João,261320,PE,"5 a 5,9",GH6
São Joaquim do Monte,261330,PE,"5 a 5,9",GH6
São José da Coroa Grande,261340,PE,"5 a 5,9",GH6
São José do Belmonte,261350,PE,"4 a 4,9",GH4
São José do Egito,261360,PE,"5 a 5,9",GH4
São Lourenço da Mata,261370,PE,"4 a 4,9",GH6
São Vicente Ferrer,261380,PE,"5 a 5,9",GH6
Serra Talhada,261390,PE,"5 a 5,9",GH4
Serrita,261400,PE,"5 a 5,9",GH6
Sertânia,261410,PE,"5 a 5,9",GH6
Sirinhaém,261420,PE,"5 a 5,9",GH4
Moreilândia,261430,PE,"5 a 5,9",GH6
Solidão,261440,PE,"5 a 5,9",GH6
Surubim,261450,PE,"5 a 5,9",GH4
Tabira,261460,PE,"5 a 5,9",GH6
Tacaimbó,261470,PE,"5 a 5,9",GH6
Tacaratu,261480,PE,"4 a 4,9",GH6
Tamandaré,261485,PE,"5 a 5,9",GH6
Taquaritinga do Norte,261500,PE,"4 a 4,9",GH6
Terezinha,261510,PE,"5 a 5,9",GH6
Terra Nova,261520,PE,"5 a 5,9",GH6
Timbaúba,261530,PE,"5 a 5,9",GH4
Toritama,261540,PE,"2,5 a 3,9",GH6
Tracunhaém,261550,PE,"5 a 5,9",GH6
Trindade,261560,PE,"4 a 4,9",GH4
Triunfo,261570,PE,"5 a 5,9",GH6
Tupanatinga,261580,PE,"4 a 4,9",GH6
Tuparetama,261590,PE,"5 a 5,9",GH6
Venturosa,261600,PE,"5 a 5,9",GH6
Verdejante,261610,PE,"5 a 5,9",GH6
Vertente do Lério,261618,PE,"5 a 5,9",GH6
Vertentes,261620,PE,"4 a 4,9",GH6
Vicência,261630,PE,"5 a 5,9",GH4
Vitória de Santo Antão,261640,PE,"5 a 5,9",GH4
Xexéu,261650,PE,"5 a 5,9",GH6
Água Branca,270010,AL,"5 a 5,9",GH6
Anadia,270020,AL,"5 a 5,9",GH6
Arapiraca,270030,AL,"6 a 6,9",GH2
Atalaia,270040,AL,"5 a 5,9",GH4
Barra de Santo Antônio,270050,AL,"5 a 5,9",GH6
Barra de São Miguel,270060,AL,"5 a 5,9",GH6
Batalha,270070,AL,"6 a 6,9",GH4
Belém,270080,AL,"6 a 6,9",GH6
Belo Monte,270090,AL,"5 a 5,9",GH6
Boca da Mata,270100,AL,"5 a 5,9",GH6
Branquinha,270110,AL,"6 a 6,9",GH6
Cacimbinhas,270120,AL,"5 a 5,9",GH6
Cajueiro,270130,AL,"5 a 5,9",GH6
Campestre,270135,AL,"5 a 5,9",GH6
Campo Alegre,270140,AL,"2,5 a 3,9",GH6
Campo Grande,270150,AL,"5 a 5,9",GH6
Canapi,270160,AL,"5 a 5,9",GH6
Capela,270170,AL,"5 a 5,9",GH6
Carneiros,270180,AL,"5 a 5,9",GH6
Chã Preta,270190,AL,"5 a 5,9",GH6
Coité do Nóia,270200,AL,"5 a 5,9",GH6
Colônia Leopoldina,270210,AL,"4 a 4,9",GH6
Coqueiro Seco,270220,AL,"5 a 5,9",GH6
Coruripe,270230,AL,"5 a 5,9",GH4
Craíbas,270235,AL,"5 a 5,9",GH6
Delmiro Gouveia,270240,AL,"5 a 5,9",GH4
Dois Riachos,270250,AL,"5 a 5,9",GH6
Estrela de Alagoas,270255,AL,"4 a 4,9",GH6
Feira Grande,270260,AL,"5 a 5,9",GH6
Feliz Deserto,270270,AL,"5 a 5,9",GH6
Flexeiras,270280,AL,"5 a 5,9",GH6
Girau do Ponciano,270290,AL,"4 a 4,9",GH4
Ibateguara,270300,AL,"5 a 5,9",GH6
Igaci,270310,AL,"5 a 5,9",GH6
Igreja Nova,270320,AL,"5 a 5,9",GH6
Inhapi,270330,AL,"5 a 5,9",GH6
Jacaré dos Homens,270340,AL,"6 a 6,9",GH6
Jacuípe,270350,AL,"5 a 5,9",GH6
Japaratinga,270360,AL,"5 a 5,9",GH6
Jaramataia,270370,AL,"5 a 5,9",GH6
Jequiá da Praia,270375,AL,"6 a 6,9",GH6
Joaquim Gomes,270380,AL,"5 a 5,9",GH4
Jundiá,270390,AL,"5 a 5,9",GH6
Junqueiro,270400,AL,"5 a 5,9",GH4
Lagoa da Canoa,270410,AL,"5 a 5,9",GH6
Limoeiro de Anadia,270420,AL,"5 a 5,9",GH6
Maceió,270430,AL,"5 a 5,9",GH1
Major Isidoro,270440,AL,"5 a 5,9",GH6
Maragogi,270450,AL,"5 a 5,9",GH6
Maravilha,270460,AL,"5 a 5,9",GH6
Marechal Deodoro,270470,AL,"5 a 5,9",GH6
Maribondo,270480,AL,"6 a 6,9",GH6
Mar Vermelho,270490,AL,"5 a 5,9",GH6
Mata Grande,270500,AL,"5 a 5,9",GH4
Matriz de Camaragibe,270510,AL,"5 a 5,9",GH6
Messias,270520,AL,"5 a 5,9",GH6
Minador do Negrão,270530,AL,"5 a 5,9",GH6
Monteirópolis,270540,AL,"6 a 6,9",GH6
Murici,270550,AL,"5 a 5,9",GH4
Novo Lino,270560,AL,"5 a 5,9",GH6
Olho d'Água das Flores,270570,AL,"5 a 5,9",GH6
Olho d'Água do Casado,270580,AL,"5 a 5,9",GH6
Olho d'Água Grande,270590,AL,"5 a 5,9",GH6
Olivença,270600,AL,"6 a 6,9",GH6
Ouro Branco,270610,AL,"4 a 4,9",GH6
Palestina,270620,AL,"5 a 5,9",GH6
Palmeira dos Índios,270630,AL,"5 a 5,9",GH4
Pão de Açúcar,270640,AL,"5 a 5,9",GH4
Pariconha,270642,AL,"6 a 6,9",GH6
Paripueira,270644,AL,"4 a 4,9",GH6
Passo de Camaragibe,270650,AL,"5 a 5,9",GH6
Paulo Jacinto,270660,AL,"6 a 6,9",GH6
Penedo,270670,AL,"5 a 5,9",GH4
Piaçabuçu,270680,AL,"5 a 5,9",GH6
Pilar,270690,AL,"6 a 6,9",GH4
Pindoba,270700,AL,"5 a 5,9",GH6
Piranhas,270710,AL,"5 a 5,9",GH4
Poço das Trincheiras,270720,AL,"5 a 5,9",GH6
Porto Calvo,270730,AL,"5 a 5,9",GH4
Porto de Pedras,270740,AL,"4 a 4,9",GH6
Porto Real do Colégio,270750,AL,"4 a 4,9",GH6
Quebrangulo,270760,AL,"6 a 6,9",GH6
Rio Largo,270770,AL,"5 a 5,9",GH4
Roteiro,270780,AL,"5 a 5,9",GH6
Santa Luzia do Norte,270790,AL,"5 a 5,9",GH6
Santana do Ipanema,270800,AL,"5 a 5,9",GH4
Santana do Mundaú,270810,AL,"5 a 5,9",GH6
São Brás,270820,AL,"5 a 5,9",GH6
São José da Laje,270830,AL,"5 a 5,9",GH6
São José da Tapera,270840,AL,"5 a 5,9",GH6
São Luís do Quitunde,270850,AL,"5 a 5,9",GH6
São Miguel dos Campos,270860,AL,"5 a 5,9",GH4
São Miguel dos Milagres,270870,AL,"5 a 5,9",GH6
São Sebastião,270880,AL,"5 a 5,9",GH6
Satuba,270890,AL,"5 a 5,9",GH6
Senador Rui Palmeira,270895,AL,"5 a 5,9",GH6
Tanque d'Arca,270900,AL,"5 a 5,9",GH6
Taquarana,270910,AL,"5 a 5,9",GH6
Teotônio Vilela,270915,AL,"5 a 5,9",GH4
Traipu,270920,AL,"4 a 4,9",GH6
União dos Palmares,270930,AL,"5 a 5,9",GH4
Viçosa,270940,AL,"5 a 5,9",GH4
Amparo de São Francisco,280010,SE,"5 a 5,9",GH6
Aquidabã,280020,SE,"5 a 5,9",GH6
Aracaju,280030,SE,"5 a 5,9",GH2
Arauá,280040,SE,"5 a 5,9",GH6
Areia Branca,280050,SE,"5 a 5,9",GH6
Barra dos Coqueiros,280060,SE,"5 a 5,9",GH6
Boquim,280067,SE,"5 a 5,9",GH6
Brejo Grande,280070,SE,"5 a 5,9",GH6
Campo do Brito,280100,SE,"4 a 4,9",GH6
Canhoba,280110,SE,"5 a 5,9",GH6
Canindé de São Francisco,280120,SE,"6 a 6,9",GH5
Capela,280130,SE,"5 a 5,9",GH4
Carira,280140,SE,"4 a 4,9",GH6
Carmópolis,280150,SE,"5 a 5,9",GH5
Cedro de São João,280160,SE,"5 a 5,9",GH6
Cristinápolis,280170,SE,"5 a 5,9",GH6
Cumbe,280190,SE,"5 a 5,9",GH6
Divina Pastora,280200,SE,"5 a 5,9",GH5
Estância,280210,SE,"5 a 5,9",GH4
Feira Nova,280220,SE,"5 a 5,9",GH6
Frei Paulo,280230,SE,"5 a 5,9",GH5
Gararu,280240,SE,"4 a 4,9",GH6
General Maynard,280250,SE,"5 a 5,9",GH6
Gracho Cardoso,280260,SE,"6 a 6,9",GH6
Ilha das Flores,280270,SE,"5 a 5,9",GH6
Indiaroba,280280,SE,"5 a 5,9",GH6
Itabaiana,280290,SE,"5 a 5,9",GH4
Itabaianinha,280300,SE,"4 a 4,9",GH6
Itabi,280310,SE,"5 a 5,9",GH6
Itaporanga d'Ajuda,280320,SE,"5 a 5,9",GH6
Japaratuba,280330,SE,"5 a 5,9",GH5
Japoatã,280340,SE,"5 a 5,9",GH6
Lagarto,280350,SE,"4 a 4,9",GH4
Laranjeiras,280360,SE,"5 a 5,9",GH5
Macambira,280370,SE,"5 a 5,9",GH6
Malhada dos Bois,280380,SE,"5 a 5,9",GH6
Malhador,280390,SE,"5 a 5,9",GH6
Maruim,280400,SE,"5 a 5,9",GH6
Moita Bonita,280410,SE,"5 a 5,9",GH6
Monte Alegre de Sergipe,280420,SE,"4 a 4,9",GH6
Muribeca,280430,SE,"5 a 5,9",GH6
Neópolis,280440,SE,"5 a 5,9",GH6
Nossa Senhora Aparecida,280445,SE,"5 a 5,9",GH6
Nossa Senhora da Glória,280450,SE,"5 a 5,9",GH4
Nossa Senhora das Dores,280460,SE,"5 a 5,9",GH6
Nossa Senhora de Lourdes,280470,SE,"5 a 5,9",GH6
Nossa Senhora do Socorro,280480,SE,"5 a 5,9",GH4
Pacatuba,280490,SE,"5 a 5,9",GH6
Pedra Mole,280500,SE,"5 a 5,9",GH6
Pedrinhas,280510,SE,"4 a 4,9",GH6
Pinhão,280520,SE,"5 a 5,9",GH6
Pirambu,280530,SE,"5 a 5,9",GH6
Poço Redondo,280540,SE,"4 a 4,9",GH6
Poço Verde,280550,SE,"5 a 5,9",GH6
Porto da Folha,280560,SE,"4 a 4,9",GH6
Propriá,280570,SE,"5 a 5,9",GH6
Riachão do Dantas,280580,SE,"5 a 5,9",GH6
Riachuelo,280590,SE,"5 a 5,9",GH4
Ribeirópolis,280600,SE,"5 a 5,9",GH6
Rosário do Catete,280610,SE,"5 a 5,9",GH5
Salgado,280620,SE,"5 a 5,9",GH6
Santa Luzia do Itanhy,280630,SE,"5 a 5,9",GH6
Santana do São Francisco,280640,SE,"5 a 5,9",GH6
Santa Rosa de Lima,280650,SE,"5 a 5,9",GH6
Santo Amaro das Brotas,280660,SE,"5 a 5,9",GH6
São Cristóvão,280670,SE,"5 a 5,9",GH6
São Domingos,280680,SE,"5 a 5,9",GH6
São Francisco,280690,SE,"5 a 5,9",GH6
São Miguel do Aleixo,280700,SE,"5 a 5,9",GH6
Simão Dias,280710,SE,"4 a 4,9",GH6
Siriri,280720,SE,"5 a 5,9",GH6
Telha,280730,SE,"5 a 5,9",GH6
Tobias Barreto,280740,SE,"4 a 4,9",GH6
Tomar do Geru,280750,SE,"5 a 5,9",GH6
Umbaúba,280760,SE,"4 a 4,9",GH6
Abaíra,290010,BA,"5 a 5,9",GH6
Abaré,290020,BA,"5 a 5,9",GH6
Acajutiba,290030,BA,"5 a 5,9",GH6
Adustina,290035,BA,"4 a 4,9",GH6
Água Fria,290040,BA,"5 a 5,9",GH6
Érico Cardoso,290050,BA,"4 a 4,9",GH6
Aiquara,290060,BA,"5 a 5,9",GH6
Alagoinhas,290070,BA,"5 a 5,9",GH4
Alcobaça,290080,BA,"5 a 5,9",GH4
Almadina,290090,BA,"5 a 5,9",GH6
Amargosa,290100,BA,"5 a 5,9",GH4
Amélia Rodrigues,290110,BA,"5 a 5,9",GH6
América Dourada,290115,BA,"5 a 5,9",GH6
Anagé,290120,BA,"4 a 4,9",GH6
Andaraí,290130,BA,"5 a 5,9",GH6
Andorinha,290135,BA,"4 a 4,9",GH6
Angical,290140,BA,"4 a 4,9",GH6
Anguera,290150,BA,"4 a 4,9",GH6
Antas,290160,BA,"4 a 4,9",GH4
Antônio Cardoso,290170,BA,"5 a 5,9",GH6
Antônio Gonçalves,290180,BA,"5 a 5,9",GH6
Aporá,290190,BA,"5 a 5,9",GH6
Apuarema,290195,BA,"6 a 6,9",GH6
Aracatu,290200,BA,"5 a 5,9",GH6
Araças,290205,BA,"5 a 5,9",GH6
Araci,290210,BA,"4 a 4,9",GH4
Aramari,290220,BA,"5 a 5,9",GH6
Arataca,290225,BA,"5 a 5,9",GH6
Aratuípe,290230,BA,"5 a 5,9",GH6
Aurelino Leal,290240,BA,"5 a 5,9",GH6
